Title,Author,Category,Description,Query,Published,Modified
Universal Forwarder Splunk Versions -,jaracan,_internal,Returns the version of Splunk Universal Forwarders in an environment via _internal logs. ,,2018-09-12T15:43:44+00:00,
List Deployment Apps and the associated serverClass -,wrangler2x,REST,,,2018-09-14T18:06:24+00:00,2018-09-16T19:24:48+00:00
Get Sourcetype and Index Info via TSTATS -,john117,_internal,Use the following simple tstats query to return the latest time events came in for a given index as well as list all sourcetypes for each index: ,'|tstats values(sourcetype) as Sourcetype latest(_time) as Time groupby index | convert ctime(Time)',2018-09-19T01:55:41+00:00,
List of all enabled correlation rules that generate a notable -,Rbecwar,REST,,,2018-11-03T20:29:51+00:00,
REST API response time -,SplunkNinja,_internal,This is a\xa0Splunk query to measure REST API response time from the various rest URI&#8217;s in Splunk. ,"'index=_internal sourcetype=splunkd_access source=*splunkd_access.log | rex ""- - - (?P&lt;Response_Time&gt;.*)"" | rex ""\\""(?&lt;REST_uri&gt;^\\""+)"" | table _time, REST_uri, Response_Time'",2018-11-14T19:54:43+00:00,
Show how much disk space is used by _internal -,ItsJohnLocke,_internal,The following Splunk query will return disk space used by the _internal index. ,'index=_internal source=*license_usage.log type=Usage | eval gb=b/1024/1024/1024 | timechart span=1d sum(gb) as GB by host useother=false | untable _time host gb | top limit=1 host | join time search index=_internal source=*license_usage.log type=Usage | eval gb=b/1024/1024/1024 | timechart span=1d sum(gb) as GB by sourcetype useother=false |untable _time sourcteype sum(GB)',2018-11-23T13:29:52+00:00,
Port usage for opsec sourcetype -,pradeep577,opsec,Stats count by port usage ,'index=* sourcetype=opsec | stats count by s_port proto dest dest_svc action product',2018-11-24T21:19:59+00:00,
Index Modifications -,john117,_internal,This Splunk query should show which users attempted to modify an index and if that action was successful: ,'index=_audit user=* action=indexes_edit | stats count by index info user action',2018-11-29T10:04:09+00:00,
Splunk Admin Account Activity - Account Modifications -,john117,_internal,This Splunk query shows when the admin account performed Account Modification / Deletion / Creation actions: ,'index=_audit user=admin action=edit_user operation=* | table _time user operation object*',2018-11-30T01:23:01+00:00,
Splunk Admin Account Activity - Role Modifications -,john117,_internal,This Splunk query shows when the admin account performed Create or Modify Roles actions: ,"'index=""_audit"" action=edit_roles operation=* | table _time user operation object*'",2018-11-30T01:23:26+00:00,
Forwarder TCP Connections info -,thall,_internal,This search should help identify which forwarders are connected and give you more information on the forwarders. ,"'index=""_internal"" sourcetype=""splunkd"" source=""*metrics.lo*"" group=tcpin_connections component=Metrics | eval sourceHost=if(isnull(hostname), sourceHost,hostname)| eval connectionType=case(fwdType==""uf"",""universal forwarder"", fwdType==""lwf"", ""lightweight forwarder"",fwdType==""full"", ""heavy forwarder"", connectionType==""cooked"" or connectionType==""cookedSSL"",""Splunk forwarder"", connectionType==""raw"" or connectionType==""rawSSL"",""legacy forwarder"") | eval version=if(isnull(version),""pre 4.2"",version) | eval guid=if(isnull(guid),sourceHost,guid) | eval os=if(isnull(os),""n/a"",os)| eval arch=if(isnull(arch),""n/a"",arch)| fields connectionType sourceIp sourceHost splunk_server version os arch kb guid | eval lastReceived = case(kb&gt;0, _time)| eval lastConnected=max(_time)| stats first(sourceIp) as sourceIp first(connectionType) as connectionType first(version) as version first(os) as os first(arch) as arch max(lastConnected) as lastConnected max(lastReceived) as lastReceived by sourceHost guid | addinfo | eval status=if(lastConnected&lt;(info_max_time-900),""missing"",if(mystatus=""quiet"",""quiet"",""active"")) | fields sourceHost sourceIp version connectionType os arch lastConnected lastReceived status | rename sourceHost as Forwarder version as ""Splunk Version"" connectionType as ""Forwarder Type"" os as ""Platform"" status as ""Current Status"" lastConnected as ""Last Connected"" lastReceived as ""Last Data Received"" | fieldformat ""Last Connected""=strftime(\'Last Connected\', ""%D %H:%M:%S %p"") | fieldformat ""Last Data Received""=strftime(\'Last Data Received\', ""%D %H:%M:%S %p"") | sort Forwarder'",2018-12-01T15:33:33+00:00,
System Time Modifications in Windows -,SplunkNinja,WinEventLog:Security,The following queries will return modifications to time in a windows environment. It ignores system and service accounts. Windows 2008 and newer: ,"'source=""WinEventLog:Security"" EventCode=4616 (NOT Account_Name=""*$"") (NOT Account_Name=""LOCAL SERVICE"")| eval Date=strftime(_time, ""%Y/%m/%d %H:%M:%S"")| eval oldtime = strptime(replace(Previous_Time, ""\\D"", """"), ""%Y%m%d%H%M%S%9N"") |  eval t=_time | rename t as ""eventtime"" |eval diff=round(((eventtime-oldtime)/60)/60,2) | where diff!=0| stats count by host, Account_Name, diff, Date | sort - Date| rename diff as ""Hours Between New Time and Actual Time"" |rename Account_Name as ""Source Account"" | rename host as ""Target Machine""|rename Date as ""Date and Time""| fields - count', u'source=""WinEventLog:Security"" (EventCode=520) (NOT User=""LOCAL SERVICE"") ( NOT User=""SYSTEM"") | eval Date=strftime(_time, ""%Y/%m/%d %H:%M:%S"")| eval YourDate=Previous_Time | eval epoch1=strptime(YourDate,""%H:%M:%S %p %m/%d/%Y"") | convert timeformat=""%H:%M:%S %p %m/%d/%Y"" mktime(YourDate) as oldtime |  eval t=_time | rename t as ""eventtime""| eval diff=round(((eventtime-oldtime)/60)/60,2) | where diff!=0| stats count by host, User, diff, Date | sort - Date| rename diff as ""Hours Between New Time and Actual Time"" |rename Account_Name as ""Source Account"" | rename host as ""Target Machine""|rename Date as ""Date and Time""| fields - count| fields - count'",2014-12-11T19:12:05+00:00,2018-12-04T16:12:41+00:00
Show Searches with Details (Who | When | What) -,SplunkNinja,_internal,The following Splunk search will show a list of searches ran on a splunk server with the following details: Who ran the search What sourcetype was used What index was used What the search string was When the search was last ran ,,2018-12-05T01:32:22+00:00,2018-12-05T01:49:12+00:00
User Logon / Session Duration -,SplunkNinja,WinEventLog:Security,The following query will return the duration of user logon time between initial logon and logoff events. I have a duration filter set to greater than 5 seconds to weed out any scripts that may quickly log on and log off (change this as needed to fit your environment). Windows 2008 and newer: ,"'source=WinEventLog:Security (EventCode=4624 OR EventCode=4634) (Logon_Type=2 OR Logon_Type=10) | eval Date=strftime(_time, ""%Y/%m/%d"")| eval LogonType=case(Logon_Type=""2"", ""Local Console Access"", Logon_Type=""10"", ""Remote Desktop via Terminal Services"")| transaction host user startswith=EventCode=4624 endswith=EventCode=4634 | where duration &gt; 5 | eval duration = duration/60 | eval duration=round(duration,2)| table host, user, LogonType duration, Date | rename duration as ""Session Duration in Minutes"" | sort - date', u'source=WinEventLog:Security (EventCode=528 OR EventCode=538) (Logon_Type=2 OR Logon_Type=10) | eval Date=strftime(_time, ""%Y/%m/%d"") | eval LogonType=case(Logon_Type=""2"", ""Local Console Access"", Logon_Type=""10"", ""Remote Desktop via Terminal Services"")| transaction host User startswith=EventCode=528 endswith=EventCode=538 | where duration &gt; 5 | eval duration = duration/60 | eval duration=round(duration,2)| table host, User, LogonType, duration, Date | rename duration as ""Session Duration in Minutes"" | sort - date'",2014-11-07T18:47:49+00:00,2018-12-17T15:50:01+00:00
"User Logon, Logoff, and Duration -",kme723,WinEventLog:Security,Tweaked\xa0wenthold\xa0response to include more EventCodes. Also depending on the environment EventCode 4800|4801|4802 which is screen lock may be the closest thing to getting a log off time. &gt; original post on splunk answers: https://answers.splunk.com/answers/597752/report-for-showing-users-logon-logoff-and-the-dura.html ,,2018-10-26T00:00:54+00:00,2018-12-17T15:51:33+00:00
Failed Logon Attempts - Windows -,SplunkNinja,WinEventLog:Security,The following Splunk query will show a timechart of failed logon attempts per host: ,,2018-12-17T16:56:44+00:00,2018-12-17T17:16:10+00:00
Search Common EventCodes (EventID&#039;s) for Suspicious Behavior -,Go Splunk,WinEventLog:Security,This query searches many common EventCodes (EventID&#8217;s) within a Windows environment for suspicious behavior. The query can take some time to run due to it&#8217;s length. Excellent for high-level security insight. ,,2014-10-07T14:39:03+00:00,2018-12-17T18:43:53+00:00
Successful Logons - Windows -,SplunkNinja,WinEventLog:Security,The following is a Splunk query that will display a timechart for all successful logons to windows: ,,2018-12-17T18:33:39+00:00,2018-12-17T19:15:43+00:00
Number of Hosts Associated with a Serverclass -,SplunkNinja,REST,The following query will list the number of hosts associated with all serverclasses on your Splunk Deployment server. This query should be run on your Deployment Server. ,"'| rest /services/deployment/server/clients splunk_server=local | table hostname applications.*.serverclasses | untable hostname applications | rex field=applications ""applications\\.(?&lt;apps&gt;.+)\\.serverclasses"" | stats dc(hostname) as hostname by apps'",2018-12-22T03:34:27+00:00,
Use TSTATS to find hosts no longer sending data -,SplunkNinja,_internal,,"'|tstats latest(_time) as lt by index, sourcetype, host | eval NOW=now() | eval difftime=NOW-lt', u'|tstats latest(_time) as lt by index, sourcetype, host | eval NOW=now() | eval difftime=NOW-lt | rangemap field=difftime ""0 - 60 Min""=0-3600 ""1 - 24 Hours""=3601-86400 ""1-7 Days""=86401-604800 default=""Greater than 1 Week""', u'|tstats latest(_time) as lt by index, sourcetype, host | eval NOW=now() | eval difftime=NOW-lt | where difftime&gt;=3600'",2019-01-04T00:54:07+00:00,
High Level Windows Dashboard -,SplunkNinja,Dashboards,,,2019-01-17T18:52:59+00:00,2019-01-18T11:52:59+00:00
List All Hosts Associated with All Indexes -,SplunkNinja,_internal,Using the Splunk Tstats command you can quickly list all hosts associated with all indexes: ,'|tstats values(host) where index=* by index',2016-12-22T20:51:10+00:00,2019-01-25T01:01:13+00:00
Failed Attempt to Login to a Disabled Account -,SplunkNinja,WinEventLog:Security,This Splunk Search Query will indicate any user who attempted to login to a disabled account. (Tested only on Windows 7 / Server 2008 and newer Windows logs). ,"'source=""WinEventLog:security"" EventCode=4625 (Sub_Status=""0xc0000072"" OR Sub_Status=""0xC0000072"") Security_ID!=""NULL SID"" Account_Name!=""*$"" | eval Date=strftime(_time, ""%Y/%m/%d"")| rex ""Which\\sLogon\\sFailed:\\s+\\S+\\s\\S+\\s+\\S+\\s+Account\\sName:\\s+(?&lt;facct&gt;\\S+)"" | eval Date=strftime(_time, ""%Y/%m/%d"") | stats count by Date, facct, host, Keywords | rename facct as ""Target Account"" host as ""Host"" Keywords as ""Status"" count as ""Count""'",2016-02-04T12:14:11+00:00,2019-01-25T01:05:03+00:00
Searching Your Searches -,kdor,Dashboards,"Below is the raw XML of a dashboard we wrote about on our blog a couple of months ago. Click here to read that blog, or copy/paste this XML in your Splunk instance! ",,2019-01-29T14:47:02+00:00,
Auditd hosts in all environments -,manderso,Dashboards,"Shows the login activity to our linux environments, sudo commands per host and users. Admin Notes: index=main was changed to index=* due to not everyone using the same index. This dashboard has been tested for code errors, but not for search errors.\xa0Please comment if you have any issues! \xa0 ",,2019-01-29T16:23:30+00:00,2019-01-29T17:11:43+00:00
Simple File Integrity Monitoring Management Dashboard -,splunkzilla,Dashboards,,,2019-02-01T19:33:29+00:00,2019-02-02T16:36:41+00:00
